accolade	アーコレード	あーこれーど	
yae-no-oyama-zakura	八重のオオヤマ桜	やえのおおやまざくら	八重大山桜
yae-no-sakon	八重の左近	やえのさこん	八重左近桜
yae-yamakoshi	八重山越	やえやまこし	
yae-yamazakura	八重山桜	やえやまざくら	
マンゲツ	満月	まんげつ	
ミシマフジミザクラ	三島富士見桜	みしまふじみざくら	
ミスミオオヒラザクラ	三隅大平桜	みすみおおひらざくら	
ミダレユキ	乱雪	みだれゆき	
ミドノヤエ	水土野八重	みどのやえ	
ミナカミ	水上	みなかみ	
ミナトザクラ	湊桜	みなとざくら	
ミヤコニシキ	都錦	みやこにしき	
ミヤノヒナザクラ	宮の雛桜	みやのひなざくら	
ミヤマチョウジザクラ	深山丁子桜	みやまちょうじざくら	深山丁字桜
ムシャザクライデンケン	ムシャザクラ（遺伝研の株）	むしゃざくらいでんけん	
メグザクラ	萌紅桜	めぐざくら	
ヤエムラサキザクラ	八重紫桜	やえむらさきざくら	
ヤエヤマコシ	八重山古志	やえやまこし	
ヤダケムラサキ	矢岳紫	やだけむらさき	
ヤチヨ	八千代	やちよ	
ヤツセニオイ	八瀬匂	やつせにおい	
ヤヒコ	雛菊桜	やひこ	菊咲丁字桜|弥彦
ヤブザクラ	藪桜	やぶざくら	
ヤマトニシキ	大和錦	やまとにしき	
ヤマヒガン	ヤマヒガン	やまひがん	
ヤヨイタカサゴ	弥生高砂	やよいたかさご	
ユウエン	松前優艶	ゆうえん	優艶
ユウガ	松前優雅	ゆうが	優雅
ユウグレ	夕暮	ゆうぐれ	
ユウバエガスミ	夕映霞	ゆうばえがすみ	
ユゲ	弓削	ゆげ	
ヨウドウザクラ	揚道桜	ようどうざくら	泣き桜
ヨサノアキコ	与謝野晶子	よさのあきこ	
ヨシノシダレ	吉野枝垂	よしのしだれ	
リュウウンインベニヤエ	龍雲院紅八重	りゅううんいんべにやえ	
リンポウザクラ	林宝桜	りんぽうざくら	
ワカナニッコウザクラ	若名日光桜	わかなにっこうざくら	
ワカムシャザクラ	若武者桜	わかむしゃざくら	
ワセヤマザクラ	早生山桜	わせやまざくら	
ワセヨシノ	早生吉野	わせよしの	
angyo-zakura	安行桜	あんぎょうざくら	
inu-zakura	犬桜	いぬざくら	
uwamizu-zakura	上溝桜	うわみずざくら	
edo-zakura	江戸桜	えどざくら	
edohigan-zakura	江戸彼岸桜	えどひがんざくら	
suzaku-zakura	朱雀桜	すざくざくら	
niwa-zakura	庭桜	にわざくら	
higan-zakura	彼岸桜	ひがんざくら	
fuji-shidare-zakura	富士枝垂桜	ふじしだれざくら	
miyabi-zakura	雅桜	みやびざくら	
ryukyu-kanhizakura	琉球寒緋桜	りゅうきゅうかんひざくら	琉球緋桜
koba-zakura	小葉桜	こばざくら	
koshi-no-higan	越の彼岸	こしのひがん	
choji-mame-zakura	チョウジマメザクラ	ちょうじまめざくら	
oneyama-zakura	オネヤマザクラ	おねやまざくら	
miyama-kasumi-zakura	深山霞桜	みやまかすみざくら	
shinei-zakura	晋栄桜	しんえいざくら	
kashio-zakura	樫尾桜	かしおざくら	
imajuku-zakura	今宿桜	いまじゅくざくら	
iwai-zakura	祝桜	いわいざくら	
oshiba-yama	大芝山	おおしばやま	
kuruma-dome	車止め	くるまどめ	
koenji-shiro-yae-zakura	高円寺白八重桜	こうえんじしろやえざくら	
goten-nioi	御殿匂	ごてんにおい	
kongo-zan	金剛山	こんごうざん	
sho-nanden	正南殿	しょうなんでん	
sendai-shidare	仙台枝垂	せんだいしだれ	
haku-kasan	白花山	はくかさん	
fuku-zakura	福桜	ふくざくら	
fudan-zakura	不断桜	ふだんざくら	
beni-gasa	紅笠	べにがさ	
hokuhо	北方	ほくほう	
ma-zakura	真桜	まざくら	
matsumae-oshima	松前大島	まつまえおおしお	
matsumae-fuki	松前風杏	まつまえふうき	
mikkabi-zakura	三ヶ日桜	みっかびざくら	
yae-nioi	八重匂	やえにおい	
yadake-murasaki	矢竹紫	やだけむらさき	
hatsu-yuki-zakura	初雪桜	はつゆきざくら	
ke-ezo-yamazakura	毛蝦夷山桜	けえぞやまざくら	
kirifuri-zakura	霧降桜	きりふりざくら	
kuchinashi-zakura	梔子桜	くちなしざくら	
sodo-zakura	総道桜	そうどうざくら	
raikoji-kiku-zakura	頼光寺菊桜	らいこうじきくざくら	
yamagoshi-murasaki	山越紫	やまごしむらさき	山越桜
yama-mochizuki-zakura	山望月桜	やまもちづきざくら	
okusai-zakura	大草井桜	おおくさいざくら	
shidare-okusai-zakura	枝垂大草井桜	しだれおおくさいざくら	
katte-zakura	勝手桜	かってざくら	
somei-nioi	染井匂	そめいにおい	
shira-taki-zakura	白滝桜	しらたきざくら	
shira-tama	白玉	しらたま	
tomoe-zakura	巴桜	ともえざくら	
shojo	猩々	しょうじょう	
myojo	明星	みょうじょう	
buko-mame-zakura	武甲豆桜	ぶこうまめざくら	
manazuru-zakura	真鶴桜	まなづるざくら	
yaeno-oshima-zakura	八重大島桜	やえのおおしまざくら	
yaeno-kasumi-zakura	八重霞桜	やえのかすみざくら	
kikuzaki-okuchoji-zakura	菊咲奥丁字桜	きくざきおくちょうじざくら	
hatsumiyo-zakura	初巳桜	はつみよざくら	
risshun-kanzakura	立春寒桜	りっしゅんかんざくら	
beni-nanden	紅南殿	べになんでん	
saiho-ji-zakura	西方寺桜	さいほうじざくら	
wakaki-no-sakura	若木の桜	わかきのさくら	
taki-no-sakura	滝の桜	たきのざくら	
kohoku-nioi	江北匂	こうほくにおい	
matsumae-usubeni-kokonoe	松前薄紅九重	まつまえうすべにこのこえ	
shidare-oyama-zakura	枝垂大山桜	しだれおおやまざくら	
kaba-zakura	樺桜	かばざくら	
takane-oyama-zakura	高嶺大山桜	たかねおおやまざくら	
zenshoji-kiku-zakura	善照寺菊桜	ぜんしょうじきくざくら	
snow-goose	スノーグース	すのーぐーす	
spire	スパイア	すぱいあ	
dawyck-zakura	ドーウィック桜	どーうぃっくざくら	
siebold-zakura	シーボルト桜	しーぼるとざくら	
kurama-yama	鞍馬山	くらまやま	
rosy-cloud	ロージークラウド	ろーじーくらうど	
hirtipes-zakura	ヒルティペス桜	ひるてぃぺすざくら	
kursar	クルサー	くるさー	
kojo-no-mai	小城の舞	こじょうのまい	
autumnalis-rosea	オータムナリスロゼア	おーたむなりすろぜあ	
asano	浅野	あさの	
seiyomizakura	西洋実桜	せいようみざくら	
rokkoukikuzakura	六高菊桜	ろっこうきくざくら	
kiccho	吉兆	きっちょう	
haruka	はるか	はるか	
hitachi-miyabi-zakura	ひたち雅	ひたちみやび	
afterglow	アフターグロウ	あふたーぐろう	
higan-dai-zakura	彼岸台桜	ヒガンダイザクラ	
hiyodorizakura	鵯桜	ヒヨドリザクラ	
hirosaki-yukiakari	弘前雪明かり	ヒロサキユキアカリ	
fuiri-shidare-zakura	斑入り枝垂桜	フイリシダレザクラ	
fujizakura-ohaku-chirifu	富士桜 黄白散斑	フジザクラ オウハクチリフ	
pusilliflora-yunnanensis	プシリフローラ × ユンナエンシス？	プシリフローラ×ユンナエンシス	
benibana-koubon-outou	紅花高盆桜桃	べにばなこうぼんおうとう	紅花高盆桜桃？|ベニバナコウボンオウトウ
hoshu-zakura	宝珠桜	ホウシュザクラ	
hokusai	ホクサイ	ホクサイ	
hokusai-isyu	ホクサイ異種	ホクサイイシュ	
hokuho	北鵬	ホクホウ	
hosokawa-beni	ホソカワベニ	ホシカワベニ	
masuyama	増山	マスヤマ	
matsumae-osio	松前大潮	マツマエオオシオ	
matsumae-hanazomei	松前花染衣	マツマエハナゾメイ	花染衣|はなぞめごろも|ハナゾメゴロモ
matsumae-benitamae	松前紅珠恵	マツマエベニタマエ	
mishoumumei-imose729	実生無名（妹背729実生）	ミショウムメイ（イモセ729）	
mishoumumei-imose730	実生無名（妹背730実生）	ミショウムメイ（イモセ730）	
mishoumumei-oushusatozakura1224	実生無名（奥州里桜1224実生）	ミショウムメイ（オウシュウサトザクラ1224）	
mishoumumei-matsumaeyaekotobuki869	実生無名（松前八重寿869実生）	ミショウムメイ（マツマエヤエコトブキ869）	
mishoumumei-mikurumagaeshi270	実生無名（御車返し270実生）	ミショウムメイ（ミクルマガエシ270）	
myoshoji	明正寺	ミョウショウジ	
myotoku-jigenzakura	明徳慈眼桜	ミョウトクジゲンザクラ	
mushazakura	霧社桜	ムシャザクラ	
morikomachi	森小町	モリコマチ	
michinoku-shidare	みちのく枝垂	ミチノクシダレ	
yabu-higan	ヤブヒガン	ヤブヒガン	
musashino	武蔵野	ムサシノ	
mikawa-kanzakura	三河寒桜	ミカワカンザクラ	
yamato-hizakura	大和緋桜	ヤマトヒザクラ	
miyuki-zakura	御幸桜	ミユキザクラ	
yamagata-otome	山形乙女	ヤマガタオトメ	
miya-no-yuki	宮の雪	ミヤノユキ	
miyamoto-wase	宮本早生	ミヤモトワセ	
miyazawa-wase	宮沢早生	ミヤザワワセ	
yoshino-yamazakura	ヨシノ	ヨシノ	吉野|ヤマザクラ（吉野選抜）
rikyu-zakura	利休桜	リキュウザクラ	
yaguchi	矢口	ヤグチ	
murata-zakura	村田桜	ムラタザクラ	
ryumon-shidare	流紋枝垂	リュウモンシダレ	
yabusame-zakura	流鏑馬桜	ヤブサメザクラ	
ryugan	龍眼	リュウガン	
ryokuryu-hananokai	緑龍	リョクリュウ	
yae-fuyuzakura	八重冬桜	ヤエフユザクラ	
yamazakura-bandai	山桜（磐梯山産）	ヤマザクラ（バンダイサンサン）	
yamazakura-nachi	山桜（那智山産）	ヤマザクラ（ナチサンサン）	
yamazakura-nikko	山桜（日光産）	ヤマザクラ（ニッコウサン）	
yae-yamazakura-yoshino	八重咲ヤマザクラ（吉野山産）	ヤエザキヤマザクラ（ヨシノヤマサン）	
yae-yamazakura-unknown	八重咲ヤマザクラ（産地不明）	ヤエザキヤマザクラ（サンチフメイ）	
yaezakura-akita	八重桜（秋田県産）	ヤエザクラ（アキタケンサン）	
yae-ohshima-ko	八重咲大島（小）	ヤエザキオオシマ（コ）	
yae-ohshima-nami	八重咲大島（並）	ヤエザキオオシマ（ナミ）	
